CompanyId,PersianYear,Return,Beta,DPR,Cash to total assets ratio,Current ratio,Quick Ratio,Debt to equity ratio,Equity Ratio,DuPont Ratio,Gross profit margin,Operating profit margin,Net profit margin,Return on assets,Return on equity,Return on investment,Sales growth rate,Current debt to total debt Ratio,Net working capital,Cost to sales ratio,Sale to current assets,Capital to sales ratio,Operating cash flow to sales,Cash flow returns to sales,Profit margin before interest and taxes,Net return on working capital
312,1392,106.13,0.74,0.43,58.71,1.22,1.1,2.17,3.17,31.54,21.67,7.01,8.52,11.08,34.29,16.34,40.36,96.22,948357,15.11,1.42,12.26,12.26,35.19,12.24,82.78
313,1392,66.29,0.51,0.93,11.89,2.3,0.81,1.28,2.28,43.87,39.66,17.8,11.98,10.54,20.94,11.89,16.72,75.52,75303,16.64,0.8,28.01,28.01,-2.67,18.45,17.8
322,1392,405.07,0.29,0.42,3.33,1.43,0.49,2.35,3.35,29.83,18.54,9.74,12.2,12.68,41.5,23.15,35.32,84.9,432720,9.23,1.02,10.27,10.27,-2.24,16.12,54.28
324,1392,322.71,-2.09,0.65,7.26,0.95,0.32,3.73,4.73,21.14,20.59,12.8,2.87,3.27,13.92,3.89,19.32,95.39,-224615,8.32,1.42,12.33,12.33,7.32,14.97,141.26
329,1392,205.17,1.43,0.7,1.64,1.07,0.71,2.62,3.62,27.6,19.94,30.63,20.27,5.61,20.64,9.52,24.9,97.87,477773,9.11,0.39,51.84,51.84,24.47,45.06,151.42
330,1392,371.7,-0.08,0.99,3.12,2.82,0.65,1.69,2.69,37.19,40.84,30.78,26.06,12.79,35.89,16.02,14.37,47.23,671345,8.02,0.56,29.39,29.39,35.87,32.96,33.22
332,1392,171.43,0.31,0.71,10.46,2.65,0.59,0.67,1.67,59.99,40.67,32.76,25.9,12.56,22.27,15.28,3.7,84.4,558789,7.61,0.53,52.54,52.54,14.07,36.46,24.29
338,1392,98.51,0.85,0,4.96,2.21,1.48,2.62,3.62,27.6,16.64,6.82,-3.91,-2.53,-10.6,-3.24,-12.02,51.68,979349,7.91,0.8,20.98,20.98,14.35,8.74,-9.48
340,1392,274.44,1.07,0.51,2.25,1.11,0.59,4.9,5.9,16.96,18.21,12.98,5.22,5.12,28.13,8.05,45.5,97.7,155579,5.75,0.94,3.56,3.56,-9.12,16.27,45.26
351,1392,181.08,1.63,0,4.86,0.84,0.59,13.84,14.84,6.74,11.53,8.22,-1.08,-0.92,-13.81,-2.07,20.06,90.62,-12776108,7.52,1.26,11.33,11.33,19.71,11.95,5.45
354,1392,73.58,1.13,0,19.73,0.45,0.32,6.24,7.24,13.82,13.51,3.79,-12.38,-6.52,-50.73,-13.18,28.72,95.86,-33326604,8.32,1.42,26.58,26.58,36.68,7.25,14.78
356,1392,154.24,1.35,0.47,17.6,1.36,0.79,1.94,2.94,34.04,15.28,3.57,1.46,1.43,4.86,2.59,21.76,92.54,1688109,10.45,1.36,27.52,27.52,6.17,7,6.03
357,1392,236,1.4,0,12.56,0.72,0.54,3.43,4.43,22.55,3.26,-13.99,-25.39,-15.5,-93.38,-21.55,-42.95,89.82,-3119501,6.98,1.1,22.46,22.46,-28.07,-4.44,98.43
358,1392,124.51,0.35,0.83,7.25,1.27,0.18,2.27,3.27,30.55,8.35,3.96,2.22,3.33,9.93,6.98,29.1,93.05,141111,6.86,1.66,18.54,18.54,10.45,4.03,16
360,1392,224.62,0.16,1,27.35,1.47,0.57,1.45,2.45,40.83,20.77,8.4,0.52,0.38,0.96,0.45,12.98,94.48,67899,8.26,0.76,27.19,27.19,31.1,9.52,1.7
362,1392,166.67,0.72,0.35,1.95,1.3,0.68,1.62,2.62,38.19,8.99,3.54,2.15,2.98,7.89,5.38,20.77,93.01,345286,5.41,1.84,18.69,18.69,4.41,5.25,18.88
363,1392,167.74,-0.54,0.83,0.39,1.78,0.98,2.99,3.99,25.06,14.11,4.43,0.28,0.17,0.63,0.23,27.29,62.74,400062,9.15,0.7,23.38,23.38,-0.44,10.89,0.63
364,1392,175.86,0.59,0,2.74,0.99,0.3,3.9,4.9,20.42,6.81,-1.53,-1.58,-4.53,-22.4,-10.3,26.06,78.47,-2803,3.23,4.74,9.26,9.26,3.37,-0.43,79.01
365,1392,254.59,0.01,0,7.63,0.83,0.42,218.96,219.96,0.45,24.36,-1.63,-1.35,-0.99,-69.3,-2.37,144.16,67.59,-37231,12.16,1.32,34.05,34.05,34.63,8.1,7.8
366,1392,56.06,0.14,0,9.91,1.18,0.66,-2.73,-1.73,-57.94,0.81,-53.04,-28.67,-16.42,0,-40,1.88,40.52,29824,19,0.8,32.34,32.34,-2.89,-23.53,-121.29
367,1392,144.35,0.35,0.17,12.82,1.36,0.82,1.55,2.55,39.24,18.52,11.83,7.03,10.97,32.76,18.08,33.65,96.58,169166,6.49,1.86,11.7,11.7,4.74,12.7,77.8
368,1392,6.33,0.02,0.15,1.82,1.82,1.13,1.08,2.08,48.07,22.46,15.63,8.99,7.21,16.04,8.73,16.43,91.87,160160,7.67,0.84,33.37,33.37,7.16,16.21,21.37
369,1392,62.01,0.61,0,3.22,1.18,0.56,4.78,5.78,17.31,13.04,6.63,0.35,0.7,3.86,1.23,7.97,88.75,37912,6.55,2.4,16.78,16.78,13.58,6.65,5.18
370,1392,304.93,0.55,0.1,4.81,1.58,1.07,1.2,2.2,45.48,32.49,22.48,18.53,15.18,35.51,18.94,32.93,85.66,82414,10.76,1.02,21.92,21.92,12.63,29.66,98.36
371,1392,415,-2.19,0,0.77,1.24,0.81,10.77,11.77,8.49,6.79,9.28,0.27,0.26,0,0.47,18.87,82.18,129616,7.96,0.83,11.66,11.66,-1.59,10.72,4.31
372,1392,215.52,0.86,0.33,2.88,1.29,0.53,1.99,2.99,33.4,15.22,8.33,4.23,7.4,23.09,10.62,37.6,92.62,167657,7.36,2.06,13.79,13.79,5.55,8.36,48.68
373,1392,692.86,0.86,0,7.03,1.05,0.76,15.11,16.11,6.21,6.37,2.58,-1.07,-1.75,-23,-3.92,11.52,78.48,31055,3.81,2.28,7.09,7.09,18.36,3.79,-32.68
374,1392,258.42,0.94,0.11,5.8,1.46,0.43,3.22,4.22,23.71,14.13,7.69,1.01,1.3,5.29,2.22,46.53,84.12,310485,3.99,1.29,16.46,16.46,4.42,8.18,4.98
375,1392,376.86,0.34,0.08,3.31,1.22,0.29,3.37,4.37,22.88,4.16,1.45,0.93,1.95,9.55,5.25,35.37,82.91,97838,2.05,3.03,8.75,8.75,5.05,2.19,19.62
376,1392,314.81,0.77,0,0.21,0.78,0.48,6.66,7.66,13.06,8.37,5.14,0.03,0.03,0.23,0.09,15.65,94.38,-478627,3.68,1.8,18.11,18.11,5.41,5.18,-0.2
377,1392,106.94,0.34,0.11,0.36,1.35,0.28,1.54,2.54,39.44,10.17,4.23,0.56,0.4,1.08,0.54,28,91.94,161807,6.52,1.02,46.79,46.79,13.3,11.28,2.13
382,1392,474,-1.02,0.73,0.49,0.98,0.17,2.56,3.56,28.11,16.58,13.68,11.49,15.72,66.82,33.09,61.96,98.75,-25134,3.39,1.91,4.67,4.67,10.97,13.67,-874.42
