CompanyId,PersianYear,Return,Beta,DPR,Cash to total assets ratio,Current ratio,Quick Ratio,Debt to equity ratio,Equity Ratio,DuPont Ratio,Gross profit margin,Operating profit margin,Net profit margin,Return on assets,Return on equity,Return on investment,Sales growth rate,Current debt to total debt Ratio,Net working capital,Cost to sales ratio,Sale to current assets,Capital to sales ratio,Operating cash flow to sales,Cash flow returns to sales,Profit margin before interest and taxes,Net return on working capital
1,1390,50.83,-0.26,0.99,3,0.83,0.3,1.26,2.26,44.34,13.97,11.78,11.95,28.64,70.83,41.09,30.27,89.55,-11475,2.55,5.64,3.95,3.95,16.32,13.42,-287.64
2,1390,27.22,1.12,0.45,7.57,1.22,1.14,0.74,1.74,57.52,35.23,28.64,72.87,40.74,73.27,52.34,32.2,90.81,22999,6.64,1,46.62,46.62,3.88,80.36,568.96
3,1390,-4.79,1.3,0.99,12.75,3.79,2.33,0.2,1.2,83.62,62.7,62.1,62.44,44.44,51.31,44.68,19.48,77.61,5342034,0.6,1.33,62.08,62.08,45.77,62.53,108.73
4,1390,35.1,1.56,0.95,19.71,2.04,1.38,0.27,1.27,78.87,65.57,65.73,65.28,44.72,58.92,46.4,18.42,94.45,3410216,4.11,1.42,63.29,63.29,47.45,71.82,222.61
6,1390,167.05,0.9,0.12,1.01,6.78,4.02,0.24,1.24,80.52,39.77,24.87,24.87,25.98,32.82,26.62,50.19,72.65,148913,14.9,0.96,30.24,30.24,2.57,24.87,32.07
7,1390,160.33,-0.49,0,1.01,0.33,0.13,3.82,4.82,20.75,34.61,16.64,11.28,8.37,42.28,14.93,-8.14,94.19,-13013,16.16,2.82,55.27,55.27,20.2,18.63,-17.05
9,1390,336.27,0.57,0.37,2.78,1.21,0.87,1.03,2.03,49.38,42.71,30.48,53.6,25.99,54.72,31.75,33.69,82.73,25976,12.67,0.89,19.14,19.14,22.39,66.08,896.82
10,1390,59.15,0.85,0.77,20.6,3.04,1.84,0.36,1.36,73.63,39.05,30.52,35.62,33.09,46.71,35.21,63.34,91.85,279337,8.54,1.14,42.17,42.17,41.31,36.37,71.74
11,1390,7.14,0.24,0.81,6.58,1.42,1,0.91,1.91,52.35,36.68,24.57,18.43,16.34,30.04,23.39,20.46,91.24,18057,12.11,1.39,37.28,37.28,29.46,25.43,80.93
14,1390,16.23,-0.07,0,7,1.34,0.5,1.29,2.29,43.68,-6.47,-12.06,0.9,0.54,1.16,0.64,-5.87,93.15,44907,8.21,0.79,89.49,89.49,-32.73,7.67,2.95
15,1390,0,0,0.66,27.91,2.61,1.48,0.5,1.5,66.56,27.09,16.28,77.44,47.25,80.42,39.35,27.59,93.55,99940,4.94,0.6,51.15,51.15,-22.19,86.14,118.44
19,1390,140.32,0.15,0.72,0.78,2.31,1.14,1.18,2.18,45.93,24.75,12.93,9.08,9.48,21.31,11.98,1.16,65.39,14469,11.57,1.2,32.5,32.5,14.25,14.57,20.38
27,1390,16.55,0.05,0.13,10.54,0.82,0.4,5.55,6.55,15.28,9.57,1.25,0.84,1.65,7.84,1.99,30.23,93.83,-190446,9.12,2.83,7.44,7.44,-1.89,3.38,-17.51
28,1390,17.39,0.06,0.92,3.6,1.1,0.7,1.66,2.66,37.61,13.05,7.26,5.48,14.29,37.79,22.3,5.76,93.38,24801,5.74,3.98,8.09,8.09,6.96,7.51,334.68
29,1390,9.2,0.61,0,5.18,0.42,0.18,182.67,183.67,0.54,6.1,-0.24,-9.4,-6.55,0,-8.71,17.94,40.23,-164998,6.35,4.12,40.36,40.36,-9.86,0.03,19.09
30,1390,30.43,0.84,0.32,9.99,1.02,0.6,0.68,1.68,59.46,13.6,5.09,2.55,2.35,4.64,2.29,13.6,96.62,2484,12.35,1.85,16.31,16.31,5.45,6.65,107.74
31,1390,5.56,0.61,0.87,2.39,1.15,0.6,1.99,2.99,33.44,8.42,4.12,3.84,9.21,28.1,16.2,27.05,93.52,33201,4.59,3.47,9.27,9.27,4.97,5.7,115.19
35,1390,0,1.17,0,4.07,0.81,0.58,9.96,10.96,9.12,18.47,6.07,1.49,2.34,17.3,3.31,34.99,90.19,-26572,11.97,2.3,11.63,11.63,-2.76,6.96,-18.81
38,1390,36.36,0.44,0.85,0.33,1.01,0.89,2.9,3.9,25.66,15.37,10.2,3.82,4.32,15.75,6.2,34.21,74.39,1567,4.41,1.85,7.22,7.22,17.33,10.21,-194.51
52,1390,278.89,0.34,1.02,10.6,1.13,0.29,3.48,4.48,22.32,13.6,10.94,7.09,19.87,73.79,26.72,61.88,95.36,38599,1.93,2.7,2.57,2.57,7.09,11.48,161.25
54,1390,33.95,0.64,0.9,4.06,1.48,0.53,3.11,4.11,24.35,15.4,10.94,6.45,9.9,41.82,14.64,59.23,74.35,67368,4.53,1.7,14.17,14.17,10.58,12.37,33.96
55,1390,370,0.1,0.06,10.48,1.02,0.27,3.89,4.89,20.46,18.66,16.27,10.1,13.79,85.91,15.18,26,98.11,6350,2.6,1.52,15.23,15.23,8.66,14.49,-176.35
56,1390,-6.25,-0.14,0.09,1.38,0.59,0.42,2.18,3.18,31.42,23.15,15.68,10.25,6.38,21.15,7.12,36.81,78.27,-367852,7.51,1.86,31.73,31.73,6.07,18.7,-28.29
61,1390,0,0.76,0.72,2.53,1.11,0.95,10.55,11.55,8.65,21.52,5.82,1.59,1.91,22.07,3.83,-4.77,86.56,49099,15.87,1.45,4.94,4.94,7.59,5.13,51.26
62,1390,1.22,-0.05,0.93,4.22,0.63,0.25,20.13,21.13,4.73,22.61,13.9,2.55,2.56,25.02,2.73,27.68,96.61,-689357,11.36,1.5,4.77,4.77,6.08,13.86,-9.21
73,1390,8.48,0.28,0,6.35,1.43,0.65,1.06,2.06,48.48,15.03,2.28,-4.04,-1.48,-2.96,-1.89,9.48,96.25,34066,12.75,0.53,109.09,109.09,1.76,7.14,-8.76
94,1390,-36.04,0.04,0,5.3,0.73,0.45,2.73,3.73,26.8,0.52,-12.09,-16.32,-10.82,-29.25,-17.85,-18.07,85.82,-15845,13.7,1.47,25.04,25.04,3.62,-11.56,123.88
96,1390,74.14,0.84,0.6,22.72,0.56,0.37,3.35,4.35,22.98,18.48,14.29,11.46,7.64,34.76,15.65,14.66,71.82,-68001,4.18,2.11,13.87,13.87,27.75,15.61,-35.32
97,1390,20,0.03,0.78,11.8,1.07,0.81,1.99,2.99,33.49,16.21,10.64,8.19,7.62,22.7,11.58,10.68,97.58,24959,7.1,1.29,25.42,25.42,1.89,14.02,275.17
107,1390,64,0.3,0.3,6.87,0.73,0.37,4.05,5.05,19.81,20.62,15.21,3.83,4.25,21.41,4.83,10.3,94.07,-524618,4.35,1.92,9.13,9.13,2.76,15.3,-17.88
108,1390,5.26,0.59,0.76,4.9,1.11,0.37,3.12,4.12,24.27,24.9,22.04,14.69,18.06,59.76,17.17,27.43,71.78,433280,3.72,1.65,8.48,8.48,11.86,23.33,137.04
112,1390,46.34,0,1,15,1.7,1.07,0.34,1.34,74.71,46.06,41.59,33.08,31.68,43.12,32.05,13.73,82.22,68919,4.39,2.22,18.82,18.82,43.89,43.15,175.02
115,1390,-7.14,0.23,0.49,2.9,1.09,0.8,2.14,3.14,31.87,21.96,6.82,4.11,6.27,19.79,10.45,-38.77,95.26,7197,12.93,2.11,13.44,13.44,7.36,7.79,114.13
116,1390,33.9,1.01,0.89,35.37,2.75,2.27,0.44,1.44,69.33,70.14,75.93,76.58,73.01,108.87,80.06,105.44,84.55,4357502,7.92,1.11,13.15,13.15,39.56,81.88,181.78
118,1390,47.1,1.21,0.92,15.44,0.82,0.36,1.76,2.76,36.18,19.03,12.67,11.07,14.42,42.89,33.63,49.49,95.19,-1134414,8.36,2.57,9.29,9.29,22.84,14.43,-97.82
119,1390,-20,0.37,0.24,4.06,1.15,0.84,3.51,4.51,22.18,20.75,10.97,6.71,10.28,43.53,15.06,52.81,86.24,28009,9.86,1.73,6.35,6.35,6.69,11.59,95.27
120,1390,93.51,0.41,0.89,6.35,1.35,0.97,0.52,1.52,65.68,50.8,47.48,44.72,33.5,51.59,41.68,21.88,81.41,31346,4.94,1.85,22.2,22.2,26.68,55.77,324.94
121,1390,11.93,0.02,0.9,1.99,1.19,0.96,1.94,2.94,33.97,56.89,43.37,36.29,14.02,33.43,13.35,30.71,39.26,631515,13.35,0.93,68.32,68.32,36.17,42.44,134.09
129,1390,43.03,0.78,0.91,7.49,1.19,0.62,1.85,2.85,35.1,25.25,20.56,10.67,9.75,31.4,9.83,17.97,91.82,46662,4.79,1.09,10.83,10.83,-36.51,21.61,77.23
131,1390,-16.88,0.36,0.79,3.53,1.41,1.19,1.02,2.02,49.57,35.12,29.54,21.56,16.08,33.67,20.71,-3.51,96.65,303496,5.42,1.15,31.78,31.78,10.79,30.48,84.07
132,1390,32.8,0.18,0.86,3.72,1.12,0.84,3.15,4.15,24.08,33.65,28.42,14.57,12.94,53.52,13.7,28.44,98.53,86646,6.57,0.92,11.11,11.11,10.81,27.54,137.76
133,1390,-29.74,0.36,0.6,2.72,1.04,0.7,2.55,3.55,28.2,32.5,24.7,6.2,3.28,9.98,4.7,16.66,98.31,31620,9.07,0.71,45.67,45.67,22.67,25.67,46.43
134,1390,11.24,0.69,0.81,3.22,1.45,0.84,1.58,2.58,38.71,42.71,29.86,28.9,25.26,61.83,27.34,45.14,96.56,273855,12.51,0.84,13.77,13.77,-8.55,40.18,90.84
135,1390,-0.58,0.37,0,7.07,0.68,0.5,3.76,4.76,20.99,23.37,20.12,8.82,5.06,23.06,8.41,38.43,84.65,-185715,3.25,1.22,15.48,15.48,44.54,21.44,-25.57
137,1390,24.68,0.1,0.71,11.18,1.3,1.03,1.33,2.33,42.91,36.59,32.56,23.26,24.23,58.63,33.97,23.04,91.72,144301,5.18,1.43,12.18,12.18,16.53,31.8,169.57
139,1390,0.96,0.97,0.23,2.41,1.38,1.08,1.24,2.24,44.71,3.27,-0.02,24.38,15.53,35.34,19.49,30.96,97.75,133663,3.34,0.8,46.51,46.51,-10.36,34.21,87.28
141,1390,-13.1,0.42,0.92,11.16,1.23,0.93,3.04,4.04,24.78,31.54,24.93,13.95,12.71,48.35,15.43,23.57,98.92,93390,5.15,0.91,7.79,7.79,19.35,25.02,63.19
143,1390,20.91,-0.05,0.94,1.66,1.65,1.19,1.28,2.28,43.78,57.35,52.84,43.98,28.28,60.64,36.73,26.33,97,263392,4.89,0.87,12.05,12.05,9.82,53.7,75.01
144,1390,22.55,-0.03,0.82,3.49,1.47,1.1,1.64,2.64,37.92,30.88,22.6,23.17,14.41,39.05,21.96,12.93,97.83,471460,6.18,0.69,14.68,14.68,10.61,34.08,53.66
145,1390,-16.67,0.09,0.44,7.25,1.5,0.95,1.46,2.46,40.59,34.66,29.04,18.17,15.03,35.12,15.68,24.24,91.95,116691,5.58,0.89,32.05,32.05,4.51,30.17,51.74
146,1390,19.13,0.29,0.92,3.89,2.19,0.97,0.66,1.66,60.13,50.11,46.58,35.4,38.17,62.57,44.54,16.46,92.22,231181,4.57,1.15,20.34,20.34,23.9,46.76,89.85
147,1390,-4.03,0.16,0.82,0.58,1.69,1.34,1.19,2.19,45.62,45.07,37.26,26.53,22.6,49.94,26.31,13.34,85.97,299877,6.47,0.97,17.48,17.48,17.21,37.35,68.98
150,1390,52,-0.26,0.48,5.19,1.16,0.98,1.15,2.15,46.43,48.87,38.38,25.25,20.87,44.68,21.73,29.21,95.54,30231,11.26,1.21,20.37,20.37,33.44,39.71,217.53
151,1390,4.41,-0.02,1.11,1.41,1.1,0.89,5.13,6.13,16.3,22.58,17.27,7.59,7.65,40.49,13.65,21.02,97.77,151735,5.45,1.04,8.41,8.41,18.67,16.91,72.37
152,1390,1.26,0.08,0.94,1.75,1.15,0.68,2.11,3.11,32.11,29.48,23.11,17.08,20.22,61.89,41.36,12.42,97.39,85004,3.75,1.53,8,8,25.81,24.18,178.41
155,1390,-1.95,0.05,0.84,2.12,1.11,0.87,3.21,4.21,23.73,36.81,32.41,19.09,13.65,53.07,16.61,13.69,93.44,157565,4.63,0.8,15.97,15.97,10.01,32.85,132.17
156,1390,25.72,0.01,0.78,9.14,1.52,0.9,1.21,2.21,45.29,40.47,37.73,33.56,29.28,71.91,42.23,42.21,96.72,234681,4.52,0.94,9.33,9.33,19.09,38.42,133.95
157,1390,-15.15,0.06,0.71,1.49,1.34,0.82,3.05,4.05,24.69,22.66,18.22,11.61,12.17,50.37,17.84,21.13,81.2,73316,3.18,1.17,10.29,10.29,11.22,19.15,93.09
159,1390,8.8,0,1.13,4.95,1.47,1,0.65,1.65,60.46,27.5,20.47,25.36,16.17,26.26,15.2,19.93,95.01,69511,5.69,1.02,34.81,34.81,14,35.05,80.85
168,1390,-21.08,1.17,0,2.81,0.87,0.58,2.22,3.22,31.06,10.72,3.29,-5.38,-2.66,-7.97,-3.8,24.61,92.49,-79560,3.85,0.87,53,53,15.71,4.61,54.24
169,1390,11.27,0.2,0,16.03,0.78,0.32,4.86,5.86,17.06,11.03,8.28,0.24,0.4,2.17,0.56,26.37,69.23,-34825,2.14,3.71,12.79,12.79,15.65,7.42,-1.69
175,1390,-28.57,0.2,0,6.62,0.82,0.38,-9.66,-8.66,-11.55,-3.47,-6.84,-14.37,-17.97,0,-28.06,12.42,78,-135112,3.87,1.79,12.78,12.78,1.79,-4.11,298.78
178,1390,4.42,0.17,0.65,12.31,1.57,0.72,2.39,3.39,29.5,17.3,12.75,6.52,7.66,24.65,10.12,28.46,56.03,787518,2.86,1.79,17.09,17.09,17.93,11.93,55.43
179,1390,1.92,0.89,0.98,3.8,1.07,0.61,3.62,4.62,21.66,17.37,12.68,7.6,10.43,43.76,19.13,21.88,95.87,35118,4.69,1.57,4.52,4.52,4.73,13.17,115.82
182,1390,-15.62,1.63,0.68,24.21,2.05,1.44,0.74,1.74,57.33,28.11,18.7,13.87,7.73,14.55,11.38,14.96,97.04,-118603,7.04,0.64,47.44,47.44,12.53,18.83,-19.02
186,1390,29.18,-0.08,0,13.03,1.35,0.91,1.12,2.12,47.23,6.74,2.18,0.62,1.19,3.34,1.34,10.9,74.61,116799,4.08,3.09,6.94,6.94,10.7,2.21,48.34
187,1390,13.45,0.33,0.69,18.9,1.42,0.75,0.84,1.84,54.46,15.65,11.11,7.22,7.42,14.29,8.73,-0.06,86.61,16234,5.32,1.85,33.41,33.41,18.07,12.88,52.12
192,1390,13.92,-0.34,1.02,15.85,1.27,0.74,1.66,2.66,37.64,18.54,12.26,7.74,6.08,16.48,8.04,34.21,62.9,34747,6.62,1.58,26.25,26.25,9.52,12.62,59.97
193,1390,-18.23,0.02,0,0.36,0.71,0.39,1.15,2.15,46.61,9.9,2.85,-2.59,-1.24,-3,-1.05,12.62,74.65,-95388,6.8,1.17,27.15,27.15,12.68,2.61,15.59
196,1390,-2.62,-0.01,1.6,22.29,1.35,0.81,2.51,3.51,28.49,8.74,2.35,0.45,0.39,1.23,0.6,-2.59,81.04,56728,6.93,1.04,30.48,30.48,6.73,4.01,1.8
200,1390,9.37,0.79,0.88,6.15,1.49,0.54,1.8,2.8,35.68,26.37,19.62,14.85,14.93,39.1,29.98,12.26,90.73,118313,8.59,1.08,17.51,17.51,15.58,19.97,41.75
201,1390,0,-0.47,0.78,55.06,1.91,1.18,0.37,1.37,72.93,37.54,17.53,25,9.6,12.85,10.41,-3.96,85.08,44024,9.97,0.8,108.92,108.92,41.07,30.64,38.43
202,1390,131.08,1.69,0.88,11.01,1.39,0.82,2.75,3.75,26.66,33.28,29.21,18.97,13.35,43.54,15.18,29.62,72.56,60767,4.5,0.79,24.93,24.93,18.62,27.54,76.7
204,1390,-17.84,0.87,0,5.55,1.45,0.83,1.39,2.39,41.92,11.43,0.01,5.61,4.03,8.71,5.49,6.15,84.61,127851,9.63,0.96,25.18,25.18,-0.46,10.2,17.44
208,1390,107.85,-0.22,0.98,5.55,1.48,0.86,1.73,2.73,36.6,26.75,18.78,13.44,8.57,23.03,10.94,31.01,76.53,88349,9.34,0.84,43.23,43.23,4.84,17.13,29.82
209,1390,23.08,-0.16,1.09,4.92,0.91,0.42,3.41,4.41,22.68,19.57,10.82,0.98,0.67,2.6,0.88,19.55,97.37,-28119,7.02,0.98,30.87,30.87,6.6,11.76,-10.13
210,1390,-16.39,0,0.8,12.28,1.39,0.66,1.19,2.19,45.74,18.87,8.99,5.57,3.72,8.74,4.06,4.73,63.05,69080,10.13,1.36,36.18,36.18,4.87,12.55,66.66
211,1390,61.73,-0.1,1.18,2.8,1.29,0.76,1.32,2.32,43.03,21,13.08,11.22,7.31,16.3,11.35,3.94,95.91,146170,4.86,0.9,43.44,43.44,8.9,17.07,47.7
212,1390,137.19,0.33,0.98,3.49,1.79,0.66,0.75,1.75,57.19,31.77,23.93,17.81,20.31,36.38,28.94,24.63,79.88,127819,7.08,1.86,28.13,28.13,25.45,23.57,81.4
213,1390,53.91,0.42,0,0.16,0.75,0.29,303.01,304.01,0.33,0.72,-6.33,-12.23,-5.64,-177.83,-18.07,-13.88,84.68,-54718,6.78,0.68,45.23,45.23,1.69,-4.99,29.53
215,1390,7.61,0.12,0.78,13.27,0.72,0.42,0.87,1.87,53.4,44.1,41.2,31.78,15.26,26.12,17.07,12.15,75.41,-482130,2.71,1.93,61.25,61.25,29.39,44.55,-251.16
218,1390,-24.29,-0.19,0,15.13,0.2,0.05,2.79,3.79,26.41,27.91,12.57,-5.24,-1.88,-6.63,-2.53,15.61,88.38,-1286293,6.05,2.78,60.65,60.65,37.68,14.97,4.21
223,1390,63.64,0.67,1.03,12.31,0.52,0.22,1.83,2.83,35.3,30.98,26.05,14.98,8.98,27.6,11.91,21.32,58.72,-199116,2.75,3.07,35.18,35.18,39.01,25.65,-33.78
224,1390,78.79,0.57,1.02,24.51,0.74,0.26,1.08,2.08,48.1,40.76,36.52,31.21,18.48,41.36,23.9,7.81,79.04,-132213,4.04,1.99,39.63,39.63,45.11,37.19,-175.88
226,1390,31.39,0.71,0.99,4.77,0.54,0.06,2.04,3.04,32.88,27.17,25.91,15.28,6.94,20.4,8.55,47.69,56.03,-343709,1.29,2.2,44.68,44.68,25.83,24.85,-43.02
228,1390,28.65,0.09,0.97,32.74,1.02,0.38,1.07,2.07,48.42,42.56,36.9,44.35,37.85,78.69,44.16,2.58,86.95,3371,5.65,1.82,6.65,6.65,33.72,52.55,5659.16
229,1390,42.04,0.33,0.92,4.9,0.76,0.28,1.47,2.47,40.51,39.68,36.44,24.28,12.76,32.19,15.31,4.07,60.81,-145831,3.24,1.92,49.57,49.57,39,35.21,-151.34
230,1390,1.55,0.44,1,6.7,0.58,0.23,3.13,4.13,24.22,30.14,19.41,12.96,11.43,42.05,16.51,16.5,94.56,-231056,9.6,2.07,12.38,12.38,32.43,23.08,-41.45
232,1390,70,0.69,0.89,11.54,0.91,0.17,1.01,2.01,49.84,41.77,28.22,26.96,37.72,75.01,58.02,21.14,95.22,-23685,12.74,3.13,7.76,7.76,30.59,30.63,-2055.28
233,1390,4.41,0.08,1.01,13.76,0.89,0.22,1.62,2.62,38.19,22.87,16.99,15.48,12.75,29.24,17.56,19.13,76.3,-35522,5.84,1.86,24.26,24.26,26.85,22.1,-164.5
235,1390,-5.71,0.08,0.91,16.32,1.59,1.04,0.66,1.66,60.28,35.25,28.96,32.38,25.98,41.93,34.08,10.09,89.58,140999,6.23,1.36,14.78,14.78,25,40.13,120.26
239,1390,-1.06,0.33,0.7,9.38,0.69,0.35,2.9,3.9,25.65,35.28,31.38,13.91,5.36,19.62,6.84,5.61,53.86,-261127,3.96,1.38,47.89,47.89,35.96,27.16,-51.96
241,1390,-3.06,-0.11,1.01,9.4,0.42,0.18,2.19,3.19,31.38,29.25,23.08,18.96,18.34,50.85,32.7,15.97,89.33,-175273,6.23,3.42,11.63,11.63,33.36,25.1,-68.57
242,1390,3.9,0.04,0.8,23.96,0.86,0.41,0.67,1.67,60.02,34.62,28.86,37.53,22.49,35.35,27.43,9.2,92.12,-62478,5.76,1.71,54.77,54.77,45.06,40.83,-2109.72
250,1390,110.53,0.05,0.92,26.35,2.13,1.65,0.74,1.74,57.63,52.56,46.77,38.14,38.79,65.47,55.57,21.8,87.89,78149,5.78,1.19,20.08,20.08,52.24,48.92,92.13
254,1390,72.55,0.8,0.88,22.53,0.81,0.22,1.92,2.92,34.22,12.21,8.48,4.38,8.65,26.14,12.88,43,96.34,-67635,3.78,3.18,5.14,5.14,10.98,8.71,-62.13
255,1390,-2.31,0.09,1,2.81,0.92,0.57,2.26,3.26,30.69,26.17,18.77,13.2,9.12,29.06,13.25,33.29,97.38,-87919,8.81,1.05,29.34,29.34,21.65,25.73,-334.54
258,1390,14.93,0.21,0.94,8.68,2.26,0.88,0.24,1.24,80.83,37.5,33.87,26.4,21.3,27.34,18.01,16.94,100,224012,3.63,1.41,35.39,35.39,13.28,34.39,71.5
259,1390,67.7,-0.8,0.58,29.39,1.58,0.88,1.19,2.19,45.71,12.95,13.35,10.23,20.61,48.04,30.49,16.88,94.92,366611,1.58,2.35,8.51,8.51,16.98,14.29,81.24
264,1390,37.74,0.41,0.22,1.97,1.38,0.7,0.62,1.62,61.92,35.54,26.6,17.67,9.74,15.28,11.72,118.43,97.67,151237,3.85,1.01,77.69,77.69,8.51,26.84,81.06
268,1390,-9.28,0.59,0,5.79,0.99,0.74,14.23,15.23,6.57,12.9,6.42,-9.88,-7.22,-67.88,-8.07,-1.14,78.42,-3843,3.08,0.97,10.32,10.32,40.01,1.87,130.04
269,1390,-18.03,0.97,0.48,3.28,0.94,0.5,3.76,4.76,20.99,11.11,12.02,4.48,5.03,25.32,7.98,18.56,94.05,-140978,3.25,1.63,13.2,13.2,9.71,10.85,-111.53
271,1390,33.03,1.63,0.84,12.49,3.13,2.11,0.35,1.35,74.07,52.28,49.49,44.8,38.64,56.35,36.77,47.24,86.01,1321855,2.73,1.07,20.67,20.67,13.8,51.36,93.76
272,1390,0,0,0,6.76,0.64,0.37,-238.41,-237.41,-0.42,12.12,8.55,0.43,0.46,0,0.61,25.49,83.63,-1679155,2.54,1.89,2.91,2.91,9.58,4.58,-1.54
273,1390,7.69,1.7,0,34.23,2.03,1.06,0.72,1.72,58.05,17.25,14.59,14.82,19.01,50.53,20.21,123.95,89.88,193738,2.44,1.25,67.54,67.54,24.46,16.87,151.57
274,1390,-18.97,2.08,0.83,15.99,1.88,0.58,0.63,1.63,61.4,19.62,15.36,15.55,20.58,30.03,21.7,23.83,96.08,105992,3.37,1.65,32.2,32.2,5.93,16.43,58.81
275,1390,-0.35,0.03,0,2.53,1.54,0.76,0.63,1.63,61.4,34.26,-123.86,-123.37,-21.92,-33.41,-35.52,-43.17,78.28,6001,22.86,0.43,341.06,341.06,3.38,-123.37,-91.26
278,1390,-18.72,0.95,0,39.03,1.03,0.81,7.91,8.91,11.22,-0.5,-52.54,-58.01,-24.19,-87.59,-202.5,2.23,98.5,3175,39.23,0.49,168.06,168.06,82.2,-51.97,-129.81
289,1390,1.77,0.05,1.4,2.67,2.07,0.61,0.54,1.54,64.88,28.72,20.71,14.97,12.12,19.08,16.13,6.44,91.69,247016,7.43,1.2,41.91,41.91,6.42,21.93,44.32
292,1390,67.86,-0.5,0.91,11.48,2.47,1.02,0.54,1.54,64.75,26.05,19.94,14.47,16.65,28.18,20.47,27.65,86.25,27754,7.04,1.47,29.17,29.17,19.09,20.82,43.87
308,1390,19.59,0.15,0.96,6.08,1.28,0.74,2.39,3.39,29.48,17.21,12.61,3.98,3.04,9.22,4.64,8.8,95.18,208327,4.59,0.85,29.63,29.63,19.43,13.32,15.17
309,1390,50,0.09,0.71,6.36,2.1,0.4,0.92,1.92,52.01,31.5,21.07,19.52,11.86,21.95,16.66,-5.43,88.23,102024,10.95,0.67,56.41,56.41,18.89,28.43,24.47
311,1390,-27.85,0.1,0,11.25,0.64,0.26,-2.06,-1.06,-94.2,12.35,-54.07,-89.79,-29.57,0,-73.58,-27.19,71.91,-174746,19.1,0.42,90.08,90.08,0.76,-29.45,72.67
312,1390,3.78,0.19,0.1,14.47,1.05,0.64,2.22,3.22,31.09,17.67,10.81,10.92,9.67,31.76,13.24,19.16,89.51,129609,5.96,1.25,27.53,27.53,13.83,15.8,92.85
313,1390,7.17,-0.06,0.8,5.44,3.04,1.03,0.7,1.7,58.99,36.56,17.41,14.65,11.34,20.36,13.87,-25.88,75.9,52139,18.4,0.83,46.72,46.72,5.48,17.86,19.13
322,1390,26.84,0.3,0.55,1.91,1.29,0.44,1.99,2.99,33.5,21.23,7.84,7.73,5.11,14.84,8.75,-13.42,91.66,155187,11.02,0.81,26.95,26.95,0.68,12.48,28.42
324,1390,7.91,0.14,0.48,27.19,1.23,0.67,2.48,3.48,28.76,24.54,11.69,3.97,5.96,18.69,6.03,47.06,81.23,268149,12.84,1.84,11.3,11.3,1.8,9.63,49.49
329,1390,-12.94,1.25,1.54,2.99,1.22,0.95,1.54,2.54,39.37,48.92,44.81,36.23,10.97,30.61,14.29,-27.65,97.86,1017900,7.33,0.43,12.16,12.16,12.19,59.52,94.35
330,1390,0,0.21,0.87,2.62,1.78,0.62,0.9,1.9,52.59,44.42,38.63,33.81,21.9,44.08,36.53,-18.86,94.4,241991,5.76,0.84,36.69,36.69,25.28,43.81,68.85
332,1390,15.19,0.29,0.81,5.96,2.27,0.59,0.81,1.81,55.34,37.18,33.63,24.7,15.39,30.37,20.12,-25.68,88.7,420250,3.83,0.66,29.12,29.12,20.64,35.2,33.98
338,1390,-25.88,2.15,0.94,3.77,1.17,0.78,4.26,5.26,18.99,10.48,5.86,2.83,1.98,8.7,2.45,18.32,94.97,310987,3.82,0.72,18.95,18.95,-9.76,11.85,12.19
340,1390,4.82,-0.37,0.38,3.37,1.22,0.58,3.18,4.18,23.93,22.44,12.42,6.19,4.73,17.09,7.6,18.14,94.79,140412,10.2,0.72,9.45,9.45,9.99,14.79,25.77
351,1390,-34.37,0.62,0.59,4.36,0.76,0.58,6.89,7.89,12.68,14.76,12.05,3.3,3.69,29.8,6.66,8.84,96.91,-20814762,5.58,1.65,8.21,8.21,9.07,11.81,-17
354,1390,-27.38,1.97,0.81,7.4,0.6,0.48,2.36,3.36,29.76,18.95,11.69,9.3,8.59,26.27,13.17,11.03,94.52,-17062346,7.22,2.29,17.76,17.76,8.07,15.6,-38.13
356,1390,-40.5,1.75,1,2.65,1.28,0.65,2.82,3.82,26.19,12.69,5.54,0.87,0.69,2.57,0.91,4.17,95.51,2248706,6.71,0.8,14.39,14.39,-18.33,10.27,3.49
357,1390,-7.32,1.52,0.52,15.65,0.99,0.66,3.83,4.83,20.69,9.22,5.02,1.32,2.33,9.93,3.48,50.9,89.03,-44201,3.14,2.25,11.3,11.3,7.44,6.08,-61.22
358,1390,-4.71,0.59,0.6,4.12,1.41,0.29,1.63,2.63,38.06,23.28,7.46,4.64,4.71,12.33,8.65,6.42,91.97,130551,10.68,1.3,27.53,27.53,8.75,7.46,20.12
360,1390,52.69,-0.87,0.54,12.06,2.11,0.81,0.86,1.86,53.83,27.52,16.45,10.77,8.55,16.23,10.57,0.98,79.14,48649,9.65,1.02,23.31,23.31,28.19,16.76,21.46
362,1390,-24.87,0.37,0.5,3.23,1.55,0.74,1.2,2.2,45.41,6.46,4.02,4.9,8.5,21.87,11.44,8.07,92,573710,3.31,2.12,4.96,4.96,3.13,7.64,43.38
363,1390,7.32,1.14,0.4,0.8,1.33,0.8,2,3,33.3,7.2,1.47,22.97,19.28,68.88,25.22,33.54,90.88,222558,6.65,0.94,17.87,17.87,7.59,32.3,188.08
364,1390,1.49,0.73,0,1.16,0.92,0.45,3.57,4.57,21.9,4.23,2.38,1.17,4.46,19.46,9.11,-3.42,91.54,-41601,2.32,5.69,5.26,5.26,2.43,2.39,-66.84
